Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,MSE,MSE_moving_bkgrnd,model,split,month,Activity,Num Annotations,Day_Night,SunPos_azimuth,SunPos_zenith,Hour,Weekday,Weekday_name,Timeslot,Timeslot_name
20210126,clip_50_2306,115,2021-01-26 23:06:00,-0.1,97,0.0,-0.5,211,2.2,0,0.0,0.0046,0.0023,CAE,feb_month,results_jan,0.0018680570647120476,5.0,night,349.78141313837125,141.0901515992249,23,1,Tuesday,8,Late Evening
20210126,clip_21_0947,5,2021-01-26 09:47:00,-0.9,99,0.0,-1.1,244,0.4,77,0.0,0.0068,0.0043,CAE,feb_month,results_jan,0.00726475240662694,5.0,day,154.49708739125958,78.75253797776728,9,1,Tuesday,4,Late Morning
20210126,clip_29_1321,115,2021-01-26 13:21:00,2.2,79,0.0,-1.0,269,1.5,215,10.0,0.009000000000000001,0.0049,CAE,feb_month,results_jan,0.011867680586874485,6.0,day,206.03282821890912,78.84669994332836,13,1,Tuesday,5,Early Afternoon
20210127,clip_0_1437,5,2021-01-27 14:37:00,-0.2,100,0.0,-0.2,20,1.4,16,0.0,0.0037,0.0019,CAE,feb_month,results_jan,0.012168309651315212,7.0,day,223.2966472724495,84.3748951783989,14,2,Wednesday,5,Early Afternoon
20210127,clip_20_2354,115,2021-01-27 23:54:00,-2.5,85,0.0,-4.7,344,2.9,0,0.0,0.0026,0.0015,CAE,feb_month,results_jan,0.004618176259100437,0.0,night,7.86002099611278,140.9538523584014,23,2,Wednesday,8,Late Evening
20210127,clip_12_2013,115,2021-01-27 20:13:00,-1.0,94,0.0,-1.8,343,2.2,0,0.0,0.0033,0.0016,CAE,feb_month,results_jan,0.006580911111086607,4.0,night,295.141731269572,126.47045274641232,20,2,Wednesday,7,Early Evening
20210127,clip_14_2109,5,2021-01-27 21:09:00,-2.0,91,0.0,-3.3,338,2.3,0,0.0,0.0032,0.0016,CAE,feb_month,results_jan,0.005371448118239641,2.0,night,310.32489108396635,132.86043241227569,21,2,Wednesday,8,Late Evening
20210128,clip_0_0000,5,2021-01-28 00:00:00,-2.4,85,0.0,-4.6,332,2.6,0,0.0,0.0027,0.0015,CAE,feb_month,results_jan,0.0012550281826406717,5.0,night,10.10951031518789,140.82535770759623,0,3,Thursday,1,Early Post-Midnight
20210128,clip_52_2347,115,2021-01-28 23:47:00,-7.5,95,0.0,-8.2,0,0.0,0,0.0,0.0033,0.0018,CAE,feb_month,results_jan,0.000645651773083955,0.0,night,5.133726275066522,140.80003975316077,23,3,Thursday,8,Late Evening
20210128,clip_35_1602,5,2021-01-28 16:02:00,-3.3,83,0.0,-5.8,0,0.0,1,0.0,0.0072,0.0042,CAE,feb_month,results_jan,0.010313372127711773,12.0,day,241.40229847121014,93.37743031288059,16,3,Thursday,6,Late Afternoon
20210128,clip_27_1239,5,2021-01-28 12:39:00,-0.4,72,0.0,-4.8,4,3.3,287,10.0,0.006999999999999999,0.0042,CAE,feb_month,results_jan,0.009192346595227718,9.0,day,196.06368221817735,76.28797899965542,12,3,Thursday,5,Early Afternoon
20210129,clip_0_0017,5,2021-01-29 00:17:00,-7.8,95,0.0,-8.4,0,0.0,0,0.0,0.0032,0.0018,CAE,feb_month,results_jan,0.0041791838593780994,0.0,night,16.276874687293457,140.0361909850102,0,4,Friday,1,Early Post-Midnight
20210129,clip_48_2357,115,2021-01-29 23:57:00,-2.7,72,0.0,-7.1,336,1.0,0,0.0,0.0013,0.0007,CAE,feb_month,results_jan,0.0016843043267726898,5.0,night,8.780875611071565,140.36536730611823,23,4,Friday,8,Late Evening
20210129,clip_19_1116,5,2021-01-29 11:16:00,-2.1,83,0.0,-4.6,51,2.1,219,10.0,0.0056,0.0033,CAE,feb_month,results_jan,0.005694132298231125,7.0,day,175.69859425531217,74.88154944820315,11,4,Friday,4,Late Morning
20210129,clip_17_0813,115,2021-01-29 08:13:00,-5.9,95,0.0,-6.6,48,0.7,27,0.0,0.0052,0.0027,CAE,feb_month,results_jan,0.008482442237436771,3.0,night,132.90888688475434,85.52013674082285,8,4,Friday,3,Early Morning
20210130,clip_0_0000,5,2021-01-30 00:00:00,-2.9,73,0.0,-7.0,348,0.5,0,0.0,0.0013,0.0006,CAE,feb_month,results_jan,0.004478713031858206,0.0,night,9.895404774342637,140.29861488487535,0,5,Saturday,1,Early Post-Midnight
20210130,clip_36_1613,115,2021-01-30 16:13:00,-0.3,98,0.1,-0.5,241,2.1,0,0.0,0.005,0.0019,CAE,feb_month,results_jan,0.010099692270159721,11.0,day,243.87420855510487,94.19433026850325,16,5,Saturday,6,Late Afternoon
20210130,clip_19_0846,5,2021-01-30 08:46:00,-1.7,90,0.0,-3.1,238,1.5,72,3.0,0.0021,0.0009,CAE,feb_month,results_jan,0.0064170509576797485,5.0,day,140.02826789831823,82.25337585927278,8,5,Saturday,3,Early Morning
20210130,clip_6_0242,115,2021-01-30 02:42:00,-5.3,85,0.0,-7.4,192,0.7,0,0.0,0.0052,0.0034,CAE,feb_month,results_jan,0.0043425471521914005,0.0,night,61.47111644095423,127.36708369873222,2,5,Saturday,1,Early Post-Midnight
20210131,clip_0_0000,5,2021-01-31 00:00:00,-5.2,98,0.0,-5.5,217,1.2,0,0.0,0.0055,0.0032,CAE,feb_month,results_jan,0.0045407675206661224,5.0,night,9.796137774526414,140.0268009789671,0,6,Sunday,1,Early Post-Midnight
20210131,clip_52_2346,115,2021-01-31 23:46:00,-1.1,96,0.0,-1.7,188,2.4,0,0.0,0.0025,0.0013,CAE,feb_month,results_jan,0.003517646575346589,0.0,night,4.52469701184657,139.98802260942176,23,6,Sunday,8,Late Evening
20210131,clip_23_1040,5,2021-01-31 10:40:00,-0.3,83,0.0,-2.8,263,1.6,269,10.0,0.0066,0.0042,CAE,feb_month,results_jan,0.00810933392494917,2.0,day,166.72519553219797,75.09036819477298,10,6,Sunday,4,Late Morning
20210131,clip_9_0412,115,2021-01-31 04:12:00,-9.7,93,0.0,-10.6,264,1.0,0,0.0,0.0055,0.0035,CAE,feb_month,results_jan,0.005158122628927231,5.0,night,82.51224069950615,115.54648007074863,4,6,Sunday,2,Late Post-Midnight
20210401,clip_0_0000,5,2021-04-01 00:00:00,4.9,98,0.0,4.7,21,3.9,0,0.0,0.0034,0.0017,CAE,feb_month,results_apr,0.0014622197486460209,0.0,night,10.09882738543996,117.98371594027357,0,3,Thursday,1,Early Post-Midnight
20210401,clip_54_2345,115,2021-04-01 23:45:00,2.4,97,0.0,2.0,218,2.1,0,0.0,0.0074,0.0041,CAE,feb_month,results_apr,0.004363042768090963,0.0,night,5.930808746701018,117.88245713479647,23,3,Thursday,8,Late Evening
20210401,clip_31_1333,115,2021-04-01 13:33:00,9.9,45,0.0,-1.3,344,3.5,596,10.0,0.0136,0.0074,CAE,feb_month,results_apr,0.00780902523547411,15.0,day,218.74618843410167,58.094101266645325,13,3,Thursday,5,Early Afternoon
