Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,model,split,month,Activity,Num Annotations,Day_Night,SunPos_azimuth,SunPos_zenith,Hour,Weekday,Weekday_name,Timeslot,Timeslot_name,precision,recall,accuracy,f1_score
20200821,clip_24_1059,115,21/08/2020 10:59,19.5,92,0,18.2,139,5.7,98,0,YOLOv5,feb_month,jan_apr_aug,0.001651504,5,day,171.6220882,45.40035249,10,4,Friday,4,Late Morning,1,1,1,1
20200821,clip_34_1539,115,21/08/2020 15:39,25.7,38,0,10.2,212,6.9,426,9.5,YOLOv5,feb_month,jan_apr_aug,0.003662889,6,day,254.1446528,66.02623564,15,4,Friday,6,Late Afternoon,1,0.333333333,0.333333333,0.5
20200821,clip_39_1740,115,21/08/2020 17:40,21.9,58,0,13.3,214,4,49,0,YOLOv5,feb_month,jan_apr_aug,0.004709982,10,day,279.9310037,82.27378857,17,4,Friday,6,Late Afternoon,0.428571429,0.3,0.214285714,0.352941176
20200821,clip_53_2351,115,21/08/2020 23:51,16.9,83,0,14,170,3.3,0,0,YOLOv5,feb_month,jan_apr_aug,0.002138261,4,night,7.289065382,111.0184457,23,4,Friday,8,Late Evening,0.333333333,0.25,0.166666667,0.285714286
20200822,clip_0_0000,5,22/08/2020 00:00,16.8,84,0,14,172,3.2,0,0,YOLOv5,feb_month,jan_apr_aug,0.006163975,6,night,9.640688146,110.840362,0,5,Saturday,1,Early Post-Midnight,0.285714286,0.333333333,0.181818182,0.307692308
20200822,clip_33_1443,115,22/08/2020 14:43,20.9,61,0,13,232,4.8,553,9.5,YOLOv5,feb_month,jan_apr_aug,0.013142103,21,day,240.7447064,59.32250569,14,5,Saturday,5,Early Afternoon,0.8125,0.619047619,0.541666667,0.702702703
20200822,clip_34_1511,115,22/08/2020 15:11,17,79,0,13.4,245,7.1,59,0,YOLOv5,feb_month,jan_apr_aug,0.009399539,10,day,247.5363208,62.74978899,15,5,Saturday,6,Late Afternoon,0.444444444,0.4,0.266666667,0.421052632
20200823,clip_0_0000,5,23/08/2020 00:00,13.8,94,0,12.9,199,3.4,0,0,YOLOv5,feb_month,jan_apr_aug,0.010572015,2,night,9.742047269,111.171256,0,6,Sunday,1,Early Post-Midnight,0.4,1,0.4,0.571428571
20200823,clip_33_1433,115,23/08/2020 14:33,18.8,62,0,11.4,276,5.1,618,10,YOLOv5,feb_month,jan_apr_aug,0.007136389,12,day,238.1073398,58.48001826,14,6,Sunday,5,Early Afternoon,0.8,0.333333333,0.307692308,0.470588235
20200823,clip_39_1721,115,23/08/2020 17:21,15.6,76,0,11.4,268,4.5,169,10,YOLOv5,feb_month,jan_apr_aug,0.009977959,8,day,275.7302566,80.36747826,17,6,Sunday,6,Late Afternoon,0.428571429,0.375,0.25,0.4
20200823,clip_51_2240,115,23/08/2020 22:40,12.6,86,0,10.3,264,2.4,0,0,YOLOv5,feb_month,jan_apr_aug,0.003785013,5,night,348.7423766,111.3517071,22,6,Sunday,8,Late Evening,1,1,1,1
20200824,clip_11_0442,115,24/08/2020 04:42,10.5,75,0,6.2,260,1.5,18,0,YOLOv5,feb_month,jan_apr_aug,0.001444029,5,night,75.57450373,86.07111787,4,0,Monday,2,Late Post-Midnight,1,1,1,1
20200824,clip_27_1142,115,24/08/2020 11:42,17,47,0,5.8,299,4,830,9,YOLOv5,feb_month,jan_apr_aug,0.001108083,5,day,186.6045354,46.33944187,11,0,Monday,4,Late Morning,1,1,1,1
20200824,clip_45_1938,115,24/08/2020 19:38,11.8,77,0,7.8,239,1.5,0,0,YOLOv5,feb_month,jan_apr_aug,0.004898273,10,day,304.5167369,98.147619,19,0,Monday,7,Early Evening,0.5,0.6,0.375,0.545454545
20200825,clip_0_1216,5,25/08/2020 12:16,17,54,0,7.6,268,3,810,10,YOLOv5,feb_month,jan_apr_aug,0.006911078,2,day,197.9876668,47.68379419,12,1,Tuesday,5,Early Afternoon,0.5,0.5,0.333333333,0.5
20200825,clip_12_1748,5,25/08/2020 17:48,15.2,52,0,5.5,119,1.5,21,0,YOLOv5,feb_month,jan_apr_aug,0.006184293,14,day,281.057568,84.59500369,17,1,Tuesday,6,Late Afternoon,1,0.785714286,0.785714286,0.88
20200825,clip_25_2345,115,25/08/2020 23:45,14.1,87,0.2,11.9,121,4.6,0,0,YOLOv5,feb_month,jan_apr_aug,0.004971143,5,night,6.086160112,112.462729,23,1,Tuesday,8,Late Evening,0,0,0,0
20200825,clip_9_1628,115,25/08/2020 16:28,17.1,44,0,4.7,177,2.5,162,1,YOLOv5,feb_month,jan_apr_aug,0.006153692,9,day,264.328327,73.84596368,16,1,Tuesday,6,Late Afternoon,0.6,0.333333333,0.272727273,0.428571429
20200826,clip_20_0920,115,26/08/2020 09:20,19.3,82,0,16.1,27,2,623,7,YOLOv5,feb_month,jan_apr_aug,0.005403327,4,day,140.927438,52.41600536,9,2,Wednesday,4,Late Morning,0.571428571,1,0.571428571,0.727272727
20200826,clip_32_1452,5,26/08/2020 14:52,15.6,88,0,13.7,13,2.6,62,0,YOLOv5,feb_month,jan_apr_aug,0.007198586,3,day,242.4598202,61.73266693,14,2,Wednesday,5,Early Afternoon,0.6,1,0.6,0.75
20200827,clip_31_1404,115,27/08/2020 14:04,18.7,64,0,11.6,280,2.5,549,6,YOLOv5,feb_month,jan_apr_aug,0.005886821,3,day,230.112288,56.64680657,14,3,Thursday,5,Early Afternoon,0,0,0,0
20200827,clip_40_1759,62,27/08/2020 17:59,15,74,0,10.4,296,1.5,41,9.5,YOLOv5,feb_month,jan_apr_aug,0.011019165,12,day,283.0819202,86.6604196,17,3,Thursday,6,Late Afternoon,1,0.833333333,0.833333333,0.909090909
20200828,clip_0_0000,5,28/08/2020 00:00,11.5,95,0,10.7,0,0,0,0,YOLOv5,feb_month,jan_apr_aug,0.005988484,2,night,10.2915977,112.8643875,0,4,Friday,1,Early Post-Midnight,0.666666667,1,0.666666667,0.8
20200828,clip_17_0731,115,28/08/2020 07:31,13.7,95,0,12.8,0,0,138,0,YOLOv5,feb_month,jan_apr_aug,0.00616823,3,day,112.9929239,64.75566122,7,4,Friday,3,Early Morning,0.25,0.333333333,0.166666667,0.285714286
20200829,clip_38_1707,115,29/08/2020 17:07,16.6,79,0,13,17,1.5,182,10,YOLOv5,feb_month,jan_apr_aug,0.010724423,8,day,272.0024662,80.45183751,17,5,Saturday,6,Late Afternoon,1,0.875,0.875,0.933333333
20200829,clip_42_1859,5,29/08/2020 18:59,13.2,88,0,11.3,353,0.7,0,0,YOLOv5,feb_month,jan_apr_aug,0.003958588,12,day,295.4943613,95.26649644,18,5,Saturday,7,Early Evening,0.583333333,0.583333333,0.411764706,0.583333333
20200829,clip_52_2334,115,29/08/2020 23:34,10.3,97,0,9.8,353,1.1,0,0,YOLOv5,feb_month,jan_apr_aug,0.002905327,10,night,3.527228676,113.984216,23,5,Saturday,8,Late Evening,0.444444444,0.4,0.266666667,0.421052632
20200830,clip_0_0000,5,30/08/2020 00:00,9.8,97,0,9.4,334,1,0,0,YOLOv5,feb_month,jan_apr_aug,0.005340528,9,night,10.53061055,113.5579362,0,6,Sunday,1,Early Post-Midnight,0.666666667,0.222222222,0.2,0.333333333
20200830,clip_16_0728,12,30/08/2020 07:28,14.6,87,0,12.5,303,0.4,248,2.5,YOLOv5,feb_month,jan_apr_aug,0.00102383,5,day,112.8312764,65.66785619,7,6,Sunday,3,Early Morning,,0,0,0
